Country,Animal_Products,Animal_fats,Eggs,Fish_and_Seafood,Fruits,Meat,Milk,Treenuts,Vegetables,Obesity,Confirmed,Deaths,Recovered,Population
Dominican Republic,15.2779,2.2261,1.1248,0.2484,3.6133,7.3718,4.1194,0.0703,0.1218,26.9,1.382828571,0.022228571,1.101057143,10500000
Ecuador,20.9283,4.7198,1.0246,0.2519,0.4367,8.7453,6.0803,0.0784,0.084,19.3,1.11287762,0.077448461,0.969699046,17511000
Egypt,15.9979,3.4231,0.8448,1.32,0.7216,6.4678,3.6343,0.2992,0.66,31.1,0.115794173,0.006640675,0.102128905,100803000
El Salvador,23.3032,6.3901,1.6034,0.4514,1.4321,6.6547,8.1491,0.1167,0.4514,22.7,0.603764851,0.017420151,0.55298565,6481000
Estonia,33.219,6.5339,1.583,0.2818,0.3805,10.4279,14.275,1.2495,0.2865,23.8,0.978136739,0.009166041,0.571600301,1331000
Eswatini,20.8055,3.1415,0.4718,0.3682,0.4718,11.1162,5.4315,0.6559,0.1956,13.5,0.584692029,0.011050725,0.546376812,1104000
Ethiopia,11.1691,1.4358,0.2238,0.0559,0.4102,4.1768,5.1091,0.7459,0.1305,3.6,0.09657837,0.001492394,0.066193567,114916000
Fiji,20.0472,7.6883,0.5773,1.4694,0.084,8.423,1.7948,0.1469,0.1732,30,0.0046875,0.000223214,0.003683036,896000
Finland,36.725,6.3787,0.8524,0.9384,0.2901,16.6649,11.8155,0.5157,0.2041,24.9,0.468113583,0.007379273,0.327364804,5529000
France,30.2594,9.1996,0.9894,0.8752,0.3869,11.0864,7.9533,0.853,0.1776,23.2,3.537716354,0.083008931,0.263623345,64940000
French Polynesia,25.1596,4.6648,0.822,1.5842,0.1995,14.0782,3.8827,0.3192,0.1397,,,,,280000
Gabon,19.2656,0.7379,0.1956,2.0359,0.6401,13.4068,2.2937,0.0178,0.2045,13.4,0.414119229,0.002689377,0.407395787,2231000
